postcode,eastings,northings,latitude,longitude,town,region
BR1,540600,170000,51.41107,0.02192,Bromley,Greater London
BR2,540700,167500,51.38858,0.02237,Bromley,Greater London
BR3,537000,169000,51.40297,-0.0302,Bromley,Greater London
BR4,538700,166000,51.37559,-0.00695,Bromley,Greater London
BR5,546400,167800,51.38983,0.10436,Bromley,Greater London
BR6,545700,165100,51.36575,0.0932,Bromley,Greater London
BR7,544100,170000,51.41019,0.07222,Bromley,Greater London
CR0,534000,165500,51.37223,-0.07463,Croydon,Greater London
CR2,533700,163000,51.34983,-0.07988,Croydon,Greater London
CR4,528100,168900,51.40415,-0.15813,Merton,Greater London
CR5,529700,158700,51.31211,-0.13886,Croydon,Greater London
CR7,532000,168000,51.39517,-0.10242,Croydon,Greater London
CR8,531600,161400,51.33594,-0.11061,Croydon,Greater London
CR9,534000,165500,51.37223,-0.07463,Croydon,Greater London
DA14,546900,171700,51.42475,0.11316,Bexley,Greater London
DA15,545900,173400,51.44029,0.09948,Bexley,Greater London
DA16,546500,176100,51.4644,0.10923,Bexley,Greater London
DA17,549200,178700,51.48706,0.14917,Crayford,Greater London
DA18,548800,179200,51.49165,0.14363,Crayford,Greater London
DA5,549200,173500,51.44033,0.14698,Bexley,Greater London
DA6,548700,175100,51.45484,0.14046,Bexley,Greater London
DA7,549100,176300,51.46552,0.14672,Crayford,Greater London
DA8,551200,177500,51.47574,0.17745,Crayford,Greater London
E1,534700,181700,51.51766,-0.05841,Poplar,Greater London
E10,537800,187400,51.56814,-0.01153,Walthamstow,Greater London
E11,539600,187400,51.56769,0.01443,Walthamstow,Greater London
E12,542400,185500,51.54992,0.05404,Stratford,Greater London
E13,540600,182900,51.527,0.02705,East Ham,Greater London
E14,537500,180500,51.5062,-0.01855,Poplar,Greater London
E15,538900,184200,51.53911,0.00307,Stratford,Greater London
E16,540600,181100,51.51083,0.02633,East Ham,Greater London
E17,537300,189400,51.58623,-0.01796,Walthamstow,Greater London
E18,540400,190100,51.59176,0.02705,Ilford,Greater London
E1W,534800,180600,51.50775,-0.05739,Poplar,Greater London
E2,534500,183000,51.52939,-0.0608,Poplar,Greater London
E3,537000,182900,51.52789,-0.02482,Poplar,Greater London
E4,538200,193400,51.62196,-0.00339,Walthamstow,Greater London
E5,535000,186300,51.55893,-0.05233,Hackney,Greater London
E6,542600,182800,51.5256,0.05583,East Ham,Greater London
E7,540600,185100,51.54678,0.02793,Stratford,Greater London
E8,534300,184400,51.54202,-0.06315,Hackney,Greater London
E9,535700,184500,51.54258,-0.04293,Hackney,Greater London
EC1,531700,182200,51.52286,-0.10144,Islington,Greater London
EC1A,531600,181900,51.52019,-0.103,Islington,Greater London
EC1M,531700,182000,51.52106,-0.10152,Islington,Greater London
EC1N,531300,181900,51.52026,-0.10732,Camden Town,Greater London
EC1R,531300,182400,51.52475,-0.10713,Islington,Greater London
EC1V,532000,182500,51.52549,-0.09701,Islington,Greater London
EC1Y,532300,182200,51.52272,-0.0928,Islington,Greater London
EC2,532600,181900,51.51995,-0.08859,Islington,Greater London
EC2A,532800,182200,51.5226,-0.0856,Islington,Greater London
EC3P,531700,181900,51.52016,-0.10156,Islington,Greater London
EN1,533700,196800,51.6536,-0.06707,Enfield,Greater London
EN2,532000,197300,51.6585,-0.09144,Enfield,Greater London
EN3,535700,197400,51.65852,-0.03794,Enfield,Greater London
EN4,527300,196000,51.6479,-0.15983,Barnet,Greater London
EN5,524900,196100,51.64934,-0.19447,Barnet,Greater London
HA0,517600,184900,51.55024,-0.3037,Brent,Greater London
HA1,515300,188100,51.57948,-0.33581,Harrow,Greater London
HA2,513800,187400,51.57349,-0.35768,Harrow,Greater London
HA3,516400,189600,51.59274,-0.31945,Harrow,Greater London
HA4,510200,186900,51.56971,-0.40977,Hillingdon,Greater London
HA5,511900,189700,51.59455,-0.38436,Harrow,Greater London
HA6,509400,191400,51.61032,-0.41991,Hillingdon,Greater London
HA7,517200,191500,51.60965,-0.30727,Harrow,Greater London
HA8,519600,191700,51.61094,-0.27255,Barnet,Greater London
HA9,518800,185900,51.55898,-0.28606,Brent,Greater London
IG1,543800,186500,51.55855,0.07463,Ilford,Greater London
IG11,545200,184000,51.53573,0.09378,Barking,Greater London
IG2,544200,188200,51.57373,0.08109,Ilford,Greater London
IG3,545600,186900,51.56168,0.10074,Ilford,Greater London
IG4,542400,188500,51.57688,0.05525,Ilford,Greater London
IG5,543100,189700,51.58749,0.06584,Ilford,Greater London
IG6,544700,190300,51.59247,0.08917,Ilford,Greater London
IG8,540800,191800,51.60694,0.0335,Ilford,Greater London
