,postcode,town,eastings,northings,latitude,longitude,region
0,BR1,Bromley,540600.0,170000.0,51.41107,0.02192,Greater London
1,BR2,Bromley,540700.0,167500.0,51.38858,0.02237,Greater London
2,BR3,Bromley,537000.0,169000.0,51.40297,-0.0302,Greater London
3,BR4,Bromley,538700.0,166000.0,51.37559,-0.00695,Greater London
4,BR5,Bromley,546400.0,167800.0,51.38983,0.10436,Greater London
5,BR6,Bromley,545700.0,165100.0,51.36575,0.0932,Greater London
6,BR7,Bromley,544100.0,170000.0,51.41019,0.07222,Greater London
7,CR0,Croydon,534000.0,165500.0,51.37223,-0.07463,Greater London
8,CR2,Croydon,533700.0,163000.0,51.34983,-0.07988,Greater London
9,CR4,Merton,528100.0,168900.0,51.40415,-0.15813,Greater London
10,CR5,Croydon,529700.0,158700.0,51.31211,-0.13886,Greater London
11,CR7,Croydon,532000.0,168000.0,51.39517,-0.10242,Greater London
12,CR8,Croydon,531600.0,161400.0,51.33594,-0.11061,Greater London
13,CR9,Croydon,534000.0,165500.0,51.37223,-0.07463,Greater London
14,DA14,Bexley,546900.0,171700.0,51.42475,0.11316,Greater London
15,DA15,Bexley,545900.0,173400.0,51.44029,0.09948,Greater London
16,DA16,Bexley,546500.0,176100.0,51.4644,0.10923,Greater London
17,DA17,Crayford,549200.0,178700.0,51.48706,0.14917,Greater London
18,DA18,Crayford,548800.0,179200.0,51.49165,0.14363,Greater London
19,DA5,Bexley,549200.0,173500.0,51.44033,0.14698,Greater London
20,DA6,Bexley,548700.0,175100.0,51.45484,0.14046,Greater London
21,DA7,Crayford,549100.0,176300.0,51.46552,0.14672,Greater London
22,DA8,Crayford,551200.0,177500.0,51.47574,0.17745,Greater London
23,E1,Poplar,534700.0,181700.0,51.51766,-0.05841,Greater London
24,E10,Walthamstow,537800.0,187400.0,51.56814,-0.01153,Greater London
25,E11,Walthamstow,539600.0,187400.0,51.56769,0.01443,Greater London
26,E12,Stratford,542400.0,185500.0,51.54992,0.05404,Greater London
27,E13,East Ham,540600.0,182900.0,51.527,0.02705,Greater London
28,E14,Poplar,537500.0,180500.0,51.5062,-0.01855,Greater London
29,E15,Stratford,538900.0,184200.0,51.53911,0.00307,Greater London
30,E16,East Ham,540600.0,181100.0,51.51083,0.02633,Greater London
31,E17,Walthamstow,537300.0,189400.0,51.58623,-0.01796,Greater London
32,E18,Ilford,540400.0,190100.0,51.59176,0.02705,Greater London
33,E1W,Poplar,534800.0,180600.0,51.50775,-0.05739,Greater London
34,E2,Poplar,534500.0,183000.0,51.52939,-0.0608,Greater London
35,E3,Poplar,537000.0,182900.0,51.52789,-0.02482,Greater London
36,E4,Walthamstow,538200.0,193400.0,51.62196,-0.00339,Greater London
37,E5,Hackney,535000.0,186300.0,51.55893,-0.05233,Greater London
38,E6,East Ham,542600.0,182800.0,51.5256,0.05583,Greater London
39,E7,Stratford,540600.0,185100.0,51.54678,0.02793,Greater London
40,E8,Hackney,534300.0,184400.0,51.54202,-0.06315,Greater London
41,E9,Hackney,535700.0,184500.0,51.54258,-0.04293,Greater London
42,EC1,Islington,531700.0,182200.0,51.52286,-0.10144,Greater London
43,EC1A,Islington,531600.0,181900.0,51.52019,-0.103,Greater London
44,EC1M,Islington,531700.0,182000.0,51.52106,-0.10152,Greater London
