,title,price,info,description,postcode,bedrooms,rent_per_pers,town,url,added_status
0,Isambard Place Surrey Quays SE16,"£1,800 pcm",2 bedroom house,*Pay less upfront with a Zero Deposit Guarantee* A spacious two double bedroom house set within a quiet cul-de-sac a short walk away from Canada Water tube station. Available furnished,SE16,2,900.0,Camberwell,https://www.rightmove.co.uk/properties/131416484#/?channel=RES_LET,Reduced today
1,Greenvale Road London SE9,"£1,600 pcm",2 bedroom flat,Recently refurbished two bedroom first floor apartment to rent in the heart of Eltham. This property is available immediately and a viewing is highly recommended.,SE9,2,800.0,Eltham,https://www.rightmove.co.uk/properties/131630009#/?channel=RES_LET,Added today
2,"Haddo Street, Greenwich, SE10","£1,500 pcm",2 bedroom apartment,"Purpose built flat, located on the first floor and well positioned for Greenwich town centre and Cutty Sark DLR station, which is only a few minutes away on foot.",SE10,2,750.0,Greenwich,https://www.rightmove.co.uk/properties/131629751#/?channel=RES_LET,Added today
3,"362 Coldharbour Lane, Brixton","£1,842 pcm",2 bedroom flat,"Lexadon are excited to bring this big and bright two double bedroom apartment to the market in Valentia Place, Brixton.",,2,921.0,,https://www.rightmove.co.uk/properties/131628560#/?channel=RES_LET,Added today
4,"Aster Court, Woodmill Road, London, E5","£1,850 pcm",2 bedroom apartment,"Modern 2 bed apartment situated just a 6 minute walk from Clapton Rail Station and within easy reach of Hackney Central. Overlooking the open spaces of Millfields Park and the River Lea (Olympic Canal), and also provides easy access to vast local amenities of Stoke Newington and Hackney Central.<...",E5,2,925.0,Hackney,https://www.rightmove.co.uk/properties/131255447#/?channel=RES_LET,Reduced today
5,"Hermitage Close, Abbey Wood, London, SE2","£1,650 pcm",2 bedroom flat,"Finished to an extremely high standard throughout. An open plan kitchen with appliances which include; a washing machine and fridge freezer. A bright and airy living room area and an extremely large master bedroom, this property deserves tenants that will look to turn this from a flat into a home",SE2,2,825.0,Eltham,https://www.rightmove.co.uk/properties/131628206#/?channel=RES_LET,Added today
6,Isambard Place Surrey Quays SE16,"£1,800 pcm",2 bedroom house,*Pay less upfront with a Zero Deposit Guarantee* A spacious two double bedroom house set within a quiet cul-de-sac a short walk away from Canada Water tube station. Available furnished,SE16,2,900.0,Camberwell,https://www.rightmove.co.uk/properties/131416484#/?channel=RES_LET,Reduced today
7,"Mapesbury Court, 59-61 Shoot Up Hill, Kilburn, London, NW2","£1,900 pcm",2 bedroom apartment,"Check out this spacious two bedroom, apartment within Mapesbury Court, a popular mansion block, minutes from the amenities of Kilburn High Road and a short distance of popular restaurants / bars of West Hampstead.",NW2,2,950.0,Brent,https://www.rightmove.co.uk/properties/131627954#/?channel=RES_LET,Added today
8,"Donnington Road, London, NW10","£1,750 pcm",3 bedroom apartment,A generously proportioned 3 bedroom first floor apartment offering 878 Sq Ft (81.5 Sq M) of internal space including a spacious reception room. *This apartment is available for a maximum of two sharers or one family *Available From 18th April 2023 *Offered Unfurnished,NW10,3,583.3333333333334,Brent,https://www.rightmove.co.uk/properties/131627546#/?channel=RES_LET,Added today
9,"Elmdale Road, London, N13","£1,750 pcm",2 bedroom flat,"2 Bed Flat, Elmdale Road, N13 We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location. Available to move in from 10 March 2023, this property benefits from available... ** Property Reference: 1625752 **",N13,2,875.0,Enfield,https://www.rightmove.co.uk/properties/131622536#/?channel=RES_LET,Added yesterday
