station_id,station_name,line_id,line,zone
1,Acton Town,10,Piccadilly Line,3.0
1,Acton Town,4,District Line,3.0
2,Aldgate,3,Circle Line,1.0
2,Aldgate,8,Metropolitan Line,1.0
3,Aldgate East,6,Hammersmith & City Line,1.0
3,Aldgate East,4,District Line,1.0
4,All Saints,13,Docklands Light Railway,2.0
5,Alperton,10,Piccadilly Line,4.0
6,Amersham,8,Metropolitan Line,9.0
7,Angel,9,Northern Line,1.0
8,Archway,9,Northern Line,2.5
9,Arnos Grove,10,Piccadilly Line,4.0
10,Arsenal,10,Piccadilly Line,2.0
11,Baker Street,8,Metropolitan Line,1.0
11,Baker Street,6,Hammersmith & City Line,1.0
11,Baker Street,7,Jubilee Line,1.0
11,Baker Street,1,Bakerloo Line,1.0
11,Baker Street,3,Circle Line,1.0
12,Balham,9,Northern Line,3.0
13,Bank,13,Docklands Light Railway,1.0
13,Bank,2,Central Line,1.0
13,Bank,9,Northern Line,1.0
13,Bank,12,Waterloo & City Line,1.0
14,Barbican,6,Hammersmith & City Line,1.0
14,Barbican,3,Circle Line,1.0
14,Barbican,8,Metropolitan Line,1.0
15,Barking,6,Hammersmith & City Line,4.0
15,Barking,4,District Line,4.0
16,Barkingside,2,Central Line,4.0
17,Barons Court,4,District Line,2.0
17,Barons Court,10,Piccadilly Line,2.0
18,Bayswater,3,Circle Line,1.0
18,Bayswater,4,District Line,1.0
19,Beckton,13,Docklands Light Railway,3.0
20,Beckton Park,13,Docklands Light Railway,3.0
21,Becontree,4,District Line,5.0
22,Belsize Park,9,Northern Line,2.0
23,Bermondsey,7,Jubilee Line,2.0
24,Bethnal Green,2,Central Line,2.0
25,Blackfriars,3,Circle Line,1.0
25,Blackfriars,4,District Line,1.0
26,Blackhorse Road,11,Victoria Line,3.0
27,Blackwall,13,Docklands Light Railway,2.0
28,Bond Street,7,Jubilee Line,1.0
28,Bond Street,2,Central Line,1.0
29,Borough,9,Northern Line,1.0
30,Boston Manor,10,Piccadilly Line,4.0
31,Bounds Green,10,Piccadilly Line,3.5
