station,line,zone
Abbey Wood,Elizabeth Line,4.0
Acton Central,London Overground,2.0
Acton Main Line,Elizabeth Line,3.0
Acton Town,Piccadilly Line,3.0
Acton Town,District Line,3.0
Aldgate,Circle Line,1.0
Aldgate,Metropolitan Line,1.0
Aldgate East,Hammersmith & City Line,1.0
Aldgate East,District Line,1.0
All Saints,Docklands Light Railway,2.0
Alperton,Piccadilly Line,4.0
Amersham,Metropolitan Line,9.0
Anerley,London Overground,4.0
Angel,Northern Line,1.0
Archway,Northern Line,2.5
Arnos Grove,Piccadilly Line,4.0
Arsenal,Piccadilly Line,2.0
Baker Street,Metropolitan Line,1.0
Baker Street,Hammersmith & City Line,1.0
Baker Street,Jubilee Line,1.0
Baker Street,Bakerloo Line,1.0
Baker Street,Circle Line,1.0
Balham,Northern Line,3.0
Bank,Waterloo & City Line,1.0
Bank,Northern Line,1.0
Bank,Docklands Light Railway,1.0
Bank,Central Line,1.0
Barbican,Circle Line,1.0
Barbican,Metropolitan Line,1.0
Barbican,Hammersmith & City Line,1.0
Barking,Hammersmith & City Line,4.0
Barking,District Line,4.0
Barking,London Overground,4.0
Barking Riverside,London Overground,4.0
Barkingside,Central Line,4.0
Barons Court,Piccadilly Line,2.0
Barons Court,District Line,2.0
Bayswater,District Line,1.0
Bayswater,Circle Line,1.0
Beckton,Docklands Light Railway,3.0
Beckton Park,Docklands Light Railway,3.0
Becontree,District Line,5.0
Belsize Park,Northern Line,2.0
Bermondsey,Jubilee Line,2.0
Bethnal Green,Central Line,2.0
Bethnal Green,London Overground,2.0
Blackfriars,Circle Line,1.0
Blackfriars,District Line,1.0
Blackhorse Road,Victoria Line,3.0
Blackhorse Road,London Overground,3.0
Blackwall,Docklands Light Railway,2.0
Bond Street,Central Line,1.0
Bond Street,Jubilee Line,1.0
Bond Street,Elizabeth Line,1.0
Borough,Northern Line,1.0
Boston Manor,Piccadilly Line,4.0
Bounds Green,Piccadilly Line,3.5
Bow Church,Docklands Light Railway,2.0
Bow Road,Hammersmith & City Line,2.0
Bow Road,District Line,2.0
Brent Cross,Northern Line,3.0
Brentwood,Elizabeth Line,7.0
Brixton,Victoria Line,2.0
Brockley,London Overground,2.0
Bromley-By-Bow,District Line,2.5
Bromley-By-Bow,Hammersmith & City Line,2.5
Brondesbury,London Overground,2.0
Brondesbury Park,London Overground,2.0
Bruce Grove,London Overground,3.0
Buckhurst Hill,Central Line,5.0
Burnham,Elizabeth Line,
Burnt Oak,Northern Line,4.0
Bush Hill Park,London Overground,5.0
Bushey,London Overground,8.0
Caledonian Road,Piccadilly Line,2.0
Caledonian Road and Barnsbury,London Overground,2.0
Cambridge Heath,London Overground,2.0
Camden Road,London Overground,2.0
Camden Town,Northern Line,2.0
Canada Water,Jubilee Line,2.0
Canada Water,London Overground,2.0
Canary Wharf,Elizabeth Line,2.0
Canary Wharf,Jubilee Line,2.0
Canary Wharf,Docklands Light Railway,2.0
Canning Town,Docklands Light Railway,2.5
Canning Town,Jubilee Line,2.5
Cannon Street,District Line,1.0
Cannon Street,Circle Line,1.0
Canonbury,London Overground,2.0
Canons Park,Jubilee Line,5.0
Carpenders Park,London Overground,7.0
Chadwell Heath,Elizabeth Line,5.0
