Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Abbey Wood,547297,179002,51.49078429543708,0.12027197064065129,"4",SE2 9RH
Acton Main Line,520296,181196,51.516886495162936,-0.2676899480142479,"3",W3 9EH
Bond Street,528497,181053,51.513797282327445,-0.14961360853164615,"1",W1C 2HU
Brentwood,559321,193036,51.613610829903095,0.29967282145821766,"7",CM14 4EW
Burnham,494007,181378,51.52350398967751,-0.6463882083350451,"",SL1 6JT
Canary Wharf,537558,180153,51.50357837512887,-0.019466840139324412,"2",E14 4QS
Chadwell Heath,547646,187611,51.56804709196961,0.12890111256817982,"5",RM6 4BE
Custom House,540679,180911,51.50962210163043,0.025772510305280598,"3",E16 3BX
Ealing Broadway,517920,180915,51.51486148277942,-0.3020103761336258,"3",W5 2NU
Farringdon,531585,181844,51.52019551919777,-0.10484306131676423,"1",EC1M 6BY
Forest Gate,540447,185322,51.54931616108423,0.024189091543256335,"3",E7 0QH
Gidea Park,552941,189306,51.581866086649704,0.20597698312646676,"6",RM2 6BX
Goodmayes,546462,187369,51.566181168031925,0.11172965502874978,"4",IG3 9UH
Hanwell,515426,180560,51.512185406676046,-0.33805187778633095,"4",W7 3EB
Harold Wood,554858,190626,51.59320260393047,0.23420407665837287,"6",RM3 0BL
Hayes and Harlington,509717,179417,51.50304838798409,-0.4206418932877566,"5",UB3 4BX
Heathrow Terminal 4,507939,174565,51.459779698532394,-0.4477295782660727,"6",TW6 3AA
Heathrow Terminal 5,504934,175642,51.470024624464,-0.4906474891242473,"6",TW6 2GA
Heathrow Terminals 1 2 3,507587,175838,51.471288661913334,-0.4524072136493198,"6",TW6 1EB
Ilford,543501,186501,51.55914235666761,0.06868519118076073,"4",IG1 4DU
Iver,503729,179898,51.50850130163604,-0.5067404189391109,"",SL0 9AU
Langley,501299,179800,51.50806077346535,-0.541770556061928,"",SL3 6DB
Liverpool Street,533160,181596,51.51759813225402,-0.08224962188885442,"1",EC2M 7PR
Maidenhead,488724,180745,51.518667426954124,-0.7226749105747798,"",SL6 1EW
Manor Park,541929,185757,51.55285442759388,0.04572387018697303,"3,4",E12 5EP
Maryland,539175,184881,51.54566828299751,0.005681654184252551,"3",E15 1SA
Paddington,526680,181185,51.51539350022652,-0.17573675026577226,"1",W2 1RH
Reading,471527,173813,51.458784566812625,-0.9718776209963325,"",RG1 1LZ
Romford,551377,188455,51.57464189428389,0.18305527427580953,"6",RM1 1SX
Seven Kings,545401,187095,51.56399351215581,0.09631957529138686,"4",IG3 8RE
Shenfield,561356,195022,51.630873639892386,0.32995227076530625,"7",CM15 8JD
Slough,497838,180157,51.51187888370566,-0.5915248252758044,"",SL1 1XW
Southall,512620,179804,51.50595629378949,-0.3787111814415624,"4",UB2 4AA
Stratford,538533,184421,51.54169257587399,-0.003751641027190752,"3",E15 1AZ
Taplow,491579,181340,51.52356084157688,-0.6813848514102004,"",SL6 0NU
Tottenham Court Road,529774,181354,51.516210657936185,-0.1311104379402324,"1",W1D 2DA
Twyford,479041,175787,51.47553252815794,-0.8633069929836112,"",RG10 9NA
West Drayton,506124,180122,51.510070447632664,-0.4721760838505147,"6",UB7 9DY
West Ealing,516690,180749,51.513624683972374,-0.3197829486921899,"3",W13 0NQ
Whitechapel,534738,181859,51.5195876908872,-0.05942048498810923,"2",E1 1BY
Woolwich,543931,178994,51.4915784950453,0.07181937852628936,"4",SE18 6EU
