Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Acton Central,520613,180299,51.508757351253415,-0.26343019532568895,"2",W3 6BH
Anerley,534656,169942,51.41251661375114,-0.06513709987901907,"4",SE20 8PY
Barking,544405,184343,51.53952124839739,0.08083161040306543,"4",IG11 8TU
Barking Riverside,546824,182141,51.5191121613515,0.11476948270172459,"4",IG11 0BF
Bethnal Green,534995,182712,51.527191653122124,-0.05539211145016204,"2",E2 0ET
Blackhorse Road,535914,189256,51.58577656484627,-0.039625711465052844,"3",E17 6JJ
Brockley,536405,175801,51.46474960336704,-0.037748250467778785,"2",SE4 2RW
Brondesbury,524718,184460,51.54526203281226,-0.20283848334279223,"2",NW6 7QL
Brondesbury Park,524202,183898,51.54032502366848,-0.21047394410807815,"2",NW6 6RP
Bruce Grove,533758,190115,51.59401113363423,-0.07039898936228008,"3",N17 8AD
Bush Hill Park,533696,195396,51.641481848544466,-0.06928041222613097,"5",EN1 1BA
Bushey,511860,195318,51.645543532577356,-0.3847215327260823,"8",WD19 4ST
Caledonian Road and Barnsbury,530800,184393,51.543284389381675,-0.11520485594881438,"2",N1 0SL
Cambridge Heath,534855,183250,51.5320596731624,-0.0572032006374023,"2",E2 7NA
Camden Road,529140,184191,51.54185100885649,-0.13920311140104435,"2",NW1 9LQ
Canada Water,535399,179493,51.498168331250874,-0.05080712084909722,"2",SE16 7BB
Canonbury,532355,184979,51.54818823621243,-0.09257419532817909,"2",N1 2PG
Carpenders Park,511826,193386,51.628186088758376,-0.3858293151270327,"7",WD19 7DT
Cheshunt,536652,202307,51.70287327834175,-0.02388741542966125,"8",EN8 9AQ
Chingford,539173,194628,51.63325339188138,0.009514325530879747,"5",E4 6AL
Clapham High Street,529824,175709,51.46546929922253,-0.132464501562701,"2",SW4 6DQ
Clapham Junction,527198,175520,51.464366507789435,-0.17031500054416623,"2",SW11 2QP
Clapton,534748,186531,51.56156899642487,-0.05748945826500976,"2",E5 9JP
Crouch Hill,530586,187508,51.57132690836755,-0.1171332840976015,"3",N4 4AU
Crystal Palace,534120,170557,51.418170235167786,-0.07260723245875281,"3,4",SE19 2AZ
Dalston Junction,533580,184778,51.54609359547847,-0.07499420449881748,"2",E8 3DL
Dalston Kingsland,533487,185062,51.54866769606561,-0.07622692161799678,"2",E8 2JS
Denmark Hill,532697,176087,51.468200492925064,-0.09098786910291701,"2",SE5 8BB
Edmonton Green,534273,193590,51.62511560436454,-0.06163901923512943,"4",N9 9DX
Emerson Park,553971,187918,51.56911527219532,0.22022293719981073,"6",RM11 2JR
Enfield Town,532970,196544,51.65196994515368,-0.07932992172819582,"5",EN1 1YB
Euston,529587,182735,51.528664114832,-0.13329647081915122,"1",NW1 2DU
Finchley Road and Frognal,526035,185033,51.55011920011288,-0.1836512006949723,"2",NW3 5HT
Forest Hill,535398,172943,51.43930822760034,-0.05332850425339094,"3",SE23 3HD
Gospel Oak,528263,185677,51.555405048065396,-0.15130103124520655,"2",NW5 1LT
Gunnersbury,519843,178401,51.49186296322991,-0.27516413141625035,"3",W4 5RP
Hackney Central,534922,184943,51.54725735659255,-0.055589511802494954,"2",E8 1LL
Hackney Downs,534598,185137,51.54907798925833,-0.0601851048568028,"2",E8 1LA
Hackney Wick,537036,184588,51.54355836778055,-0.025259502770290876,"2",E9 5ER
Haggerston,533560,183953,51.53868460901327,-0.07559525776089235,"2",E8 4DY
Hampstead Heath,527344,185631,51.555199657702005,-0.16456618167757284,"3",NW3 2QD
Harlesden,520952,183367,51.536257908620385,-0.2574956703770174,"3",NW10 8UT
Harringay Green Lanes,531880,188189,51.5771457347569,-0.09821739122071835,"3",N4 2NU
Harrow and Wealdstone,515486,189508,51.59259408808769,-0.3342526785741267,"5",HA3 7RF
Hatch End,513024,191370,51.609827902244945,-0.3691787730321793,"6",HA5 5LZ
Headstone Lane,513892,190574,51.602499044558435,-0.3569075069574213,"5",HA2 6NB
Highams Park,538581,191841,51.608355995963855,-0.00013528591952880162,"4",E4 9LA
Highbury and Islington,531562,184770,51.54649533884997,-0.10408213923935299,"2",N1 1SE
Homerton,536108,184901,51.54659538619648,-0.03851234702111631,"2",E9 5SD
Honor Oak Park,536002,174221,51.450648171040484,-0.044153121032106585,"3",SE23 3LE
Hoxton,533582,183142,51.53139149136721,-0.07558564687618821,"1,2",E2 8HR
Imperial Wharf,526299,176674,51.47493863003009,-0.1828375028016368,"2",SW6 2HA
Kensal Green,523241,182784,51.53052384871879,-0.22471338113804362,"2",NW10 5JT
Kensal Rise,523501,183201,51.5342147055381,-0.2208209758254941,"2",NW10 3NT
Kensington (Olympia),524324,179178,51.497879357125825,-0.2103792397678828,"2",W14 0NE
Kentish Town West,528603,184700,51.546547731815146,-0.1467564086224741,"2",NW5 3LD
Kenton,516833,188304,51.581495770351395,-0.31521686082632067,"4",HA3 0XS
Kew Gardens,519173,176708,51.476788671230366,-0.28538100667617433,"3,4",TW9 3PZ
Kilburn High Road,525553,183591,51.53726743072475,-0.19111310361342868,"2",NW6 7QL
Leyton Midland Road,538150,187490,51.56936422878631,-0.008066347430350757,"3",E10 6JT
Leytonstone High Road,539298,186903,51.563807360364464,0.008254468835955844,"3",E11 4RE
Liverpool Street,533160,181596,51.51759813225402,-0.08224962188885442,"1",EC2M 7PR
London Fields,534795,184212,51.54071874924931,-0.057699686220921656,"2",E8 3PH
New Cross,536750,177110,51.47642936493697,-0.03227881144505215,"2",SE14 6LD
New Cross Gate,536250,176967,51.475264866034166,-0.039529051848319986,"2",SE14 6AR
North Wembley,517663,186198,51.56239579644328,-0.30394821391329097,"4",HA0 3NT
Norwood Junction,534001,168193,51.39695420145057,-0.07520985620618181,"4",SE25 5AG
Peckham Rye,534152,176271,51.46951125269604,-0.06998355290619437,"2",SE15 5DQ
Penge West,534952,170567,51.41806283133318,-0.06064576434263841,"4",SE20 8NU
Queens Park,524612,183239,51.53431231776354,-0.20479814695067167,"2",NW6 6HJ
Queens Road Peckham,535015,176825,51.47428461792391,-0.05735497866902937,"2",SE15 2JR
Rectory Road,534001,186199,51.55876336735922,-0.06838566445429543,"2",N16 7QB
