id,title,price,info,description,postcode,bedrooms,rent_per_pers,town,url,added_status
129762542,"Montague road LONDON, SW19","£2,150 pcm",3 bedroom terraced house,"A newly refurbished three bedroom house in a prime central location in Wimbledon a few minutes walk to the Tube Station and amenities of the High Street. Lounge/diner, fully fitted kitchen, bathroom with shower and bath. Two double bedrooms and a further ...",SW19,3,716.6666666666666,Merton,https://www.rightmove.co.uk/properties/129762542#/?channel=RES_LET,Reduced today
131990162,"Comyn Road, London, SW11 1QB","£1,995 pcm",2 bedroom flat,"2 bedroom flat (1 double & 1 single) on first floor, unfurnished in a central location; bright sitting room; fitted kitchen with fridge-freezer & washing machine; bathroom with shower. Double ...",SW11 1QB,2,997.5,Wandsworth,https://www.rightmove.co.uk/properties/131990162#/?channel=RES_LET,Added today
131454662,"Holland Road, Kensal Rise","£1,650 pcm",2 bedroom flat,"Occupying the entire top floor, a spacious and well presented 2 bedroom penthouse flat set in this most attractive double fronted period property. The apartment benefits from a modern reception/kitchen approx. 20ft with roof top views, features integrated lighting and breakfast bar. Wood floor to...",,2,825.0, Kensal Rise,https://www.rightmove.co.uk/properties/131454662#/?channel=RES_LET,Reduced today
131987738,"Cambridge Road North, Chiswick, London, W4","£1,750 pcm",2 bedroom flat,"ZERO DEPOSIT AVAILABLE. LONG LET. Situated in a modern purpose-built development just of Chiswick High Road, this excellent 2 bedroom flat boasts a large reception room, and 2 generous sized bedrooms.",W4,2,875.0,Hounslow,https://www.rightmove.co.uk/properties/131987738#/?channel=RES_LET,Reduced today
131987546,"Allingham Close, Hanwell","£2,195 pcm",3 bedroom house,Castle Residential are delighted to offer this amazing 3 bed bunglow which has been finished to the highest standard and offer modern and contemporary living.,,3,731.6666666666666, Hanwell,https://www.rightmove.co.uk/properties/131987546#/?channel=RES_LET,Added today
131216678,"Burdett Road, Limehouse, London, E14","£1,850 pcm",2 bedroom flat,"Delightful two-bedroom conversion situated on the first floor of this Victorian terrace, benefiting from high ceilings, original floorboards and sash windows. Enviably located close to the green spaces of Mile End Park, Hertford Union Canal and the business and commercial district of Canary Wharf...",E14,2,925.0,Poplar,https://www.rightmove.co.uk/properties/131216678#/?channel=RES_LET,Reduced today
131986646,Mascotte Road Putney SW15,"£2,000 pcm",2 bedroom flat,"A split level two double bedroom conversion flat with a good size reception room, family bathroom and kitchen with access to roof terrace. Property is ideal for professionals.",SW15,2,1000.0,Wandsworth,https://www.rightmove.co.uk/properties/131986646#/?channel=RES_LET,Added today
86038974,Algernon Road London SE13,"£1,650 pcm",2 bedroom flat,"*** Guide Price £1650-1750 per month *** Zero Depsoit ***
Acorn is pleased to present this very spacious two double bedroom First Floor Victorian conversion flat.",SE13,2,825.0,Lewisham,https://www.rightmove.co.uk/properties/86038974#/?channel=RES_LET,Reduced today
131986022,"Eliot Hill, London SE13","£1,800 pcm",2 bedroom flat,"Proud to present this newly renovated two-bedroom apartment located on Eliot Hill, short walk to Lewisham and Blackheath. The property comprises of; two large double bedrooms, a recently refurbished kitchen and bathroom, large foyer/hallway and a huge living room where you can incorporate a d...",SE13,2,900.0,Lewisham,https://www.rightmove.co.uk/properties/131986022#/?channel=RES_LET,Added today
131985995,"Trevelyan Road, London SW17","£2,600 pcm",4 bedroom terraced house,"Well Appointed Victorian House With Private Garden Situated On Highly Desirable Road. The accommodation is presented in great condition throughout, and briefly comprises of; four genuine double bedrooms, three piece family bathroom, reception, separate dining area, fitted kitchen, and landscap...",SW17,4,650.0,Wandsworth,https://www.rightmove.co.uk/properties/131985995#/?channel=RES_LET,Added today
131985917,"Victoria Drive, London","£2,300 pcm",3 bedroom apartment,"***ZERO DEPOSIT AVAILABLE*** A newly renovated three bedroom flat. Consisting eat-in kitchen with gas hob and dishwasher, bright lounge with solid wood flooring and new fully tiled modern bathroom. Located within walking distance of Southfields tube and Wimbledon Common.",,3,766.6666666666666, London,https://www.rightmove.co.uk/properties/131985917#/?channel=RES_LET,Added today
131985404,"Redbourne Drive, North Thamesmead, London SE28","£1,250 pcm",2 bedroom flat,"Situated on the third floor of a small, modern block is this two bedroom flat. The property is in North Thamesmead and close to the River Thames. The accommodation comprises entrance hall, lounge, kitchen, two bedrooms and bathroom. Other benefits include electric storage heating , double glazing...",SE28,2,625.0,Eltham,https://www.rightmove.co.uk/properties/131985404#/?channel=RES_LET,Added today
130186715,"Green Lanes, Palmers Green,","£1,800 pcm",3 bedroom flat,"RECENTLY RENOVATED MODERN AND SPACIOUS THREE BEDROOM FLAT AVAILABLE NOW! GUIDE PRICE: £1800 - £2,200 Waltham Estates is proud to offer this modern and spacious three bedroom flat in Palmers Green. The property consist of an airy reception, separate kitchen, a master bedroom with en-suite bathro...",,3,600.0,,https://www.rightmove.co.uk/properties/130186715#/?channel=RES_LET,Reduced today
131984930,"Hornsey Road, N19 4HF","£1,800 pcm",2 bedroom maisonette,"Two bedroom maisonette comprising almost 829sqft / 77sqm set out on the ground/ first floor of this ex local property. The property offers a spacious reception room leading on to a private garden, a large separate kitchen/diner and two well-proportioned bedrooms, bathroom and a separate WC. Co...",N19 4HF,2,900.0,Islington,https://www.rightmove.co.uk/properties/131984930#/?channel=RES_LET,Added today
